,Age Group,Age,Education,Marital_Status,Income Group,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Children,Month,Year,TotalPurchases,TotalProducts,AtLeast1Cmp
1155,Middle Aged,51,PhD,Single,Low Income,23091.0,98,35,0,11,0,0,2,4,2,1,3,7,0,2,5,2014,6,48,0
1156,Young Adult,38,Graduation,Married,Lower Middle,46049.0,11,342,9,112,19,14,19,10,5,2,9,7,0,2,7,2013,16,515,0
1157,Middle Aged,40,Graduation,Together,Upper Middle,56715.0,52,258,105,239,237,172,9,1,7,3,4,4,0,0,12,2012,14,1020,0
1158,Middle Aged,53,Graduation,Married,High Income,79410.0,19,658,80,483,123,13,13,1,3,2,5,1,0,0,5,2014,10,1370,0
1159,Old Adult,63,Graduation,Married,Upper Middle,57304.0,61,356,80,329,138,17,106,2,7,6,10,5,0,1,3,2013,23,1026,0
1160,Middle Aged,49,Graduation,Married,Lower Middle,44375.0,73,213,5,28,7,7,41,1,4,1,6,5,0,1,3,2014,11,301,0
1161,Middle Aged,58,Graduation,Together,Upper Middle,54450.0,0,454,0,171,8,19,32,12,9,2,8,8,0,2,9,2012,19,684,0
1162,Middle Aged,49,Graduation,Married,Upper Middle,59594.0,74,457,4,29,0,0,9,1,8,1,7,7,0,1,10,2012,16,499,1
1163,Young Adult,20,Graduation,Together,High Income,80685.0,55,241,45,604,34,26,54,1,6,4,10,2,0,0,8,2012,20,1004,0
1164,Middle Aged,40,PhD,Married,Lower Middle,40344.0,48,210,0,6,0,0,2,2,4,1,5,7,0,1,10,2013,10,218,0
1165,Middle Aged,42,Graduation,Married,Upper Middle,62710.0,53,441,35,83,7,29,11,4,4,2,12,4,0,1,5,2013,18,606,0
1166,Middle Aged,46,Master,Married,Lower Middle,48985.0,13,19,13,18,10,7,8,1,1,1,3,3,0,1,7,2013,5,75,0
1167,Middle Aged,46,Graduation,Together,Lower Middle,35322.0,34,28,9,37,12,7,13,3,2,0,4,8,0,3,8,2012,6,106,0
1168,Old Adult,66,Graduation,Married,High Income,77142.0,54,476,75,162,29,151,97,1,4,4,8,2,0,0,5,2013,16,990,0
1169,Middle Aged,45,Graduation,Single,High Income,81657.0,69,364,40,425,158,60,50,1,3,4,8,1,0,0,1,2014,15,1097,0
1170,Young Adult,18,Basic,Married,Low Income,14421.0,81,0,0,2,3,3,8,1,1,0,2,5,0,0,2,2014,3,16,1
1171,Middle Aged,40,Master,Married,Low Income,20130.0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,3,2014,4,34,0
1172,Young Adult,24,PhD,Married,High Income,74214.0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,8,2012,15,1711,0
1173,Middle Aged,57,Master,Married,Upper Middle,66726.0,61,349,7,35,0,0,47,3,8,2,4,7,0,2,1,2014,14,438,1
1174,Young Adult,35,Basic,Together,Low Income,23724.0,65,5,23,15,0,18,14,2,2,0,3,8,0,1,1,2013,5,75,0
1175,Middle Aged,54,Master,Married,Lower Middle,47353.0,93,184,2,19,8,8,4,3,2,2,6,5,0,1,11,2013,10,225,0
1176,Old Adult,62,Master,Married,Low Income,33444.0,24,8,0,8,0,0,2,1,1,0,2,8,0,2,11,2012,3,18,0
1177,Young Adult,33,Graduation,Married,Upper Middle,54386.0,8,277,21,64,62,21,25,2,3,2,10,3,0,1,5,2013,15,470,0
1178,Young Adult,33,Graduation,Divorced,Low Income,28510.0,72,44,5,19,0,4,19,3,2,0,4,5,0,2,4,2013,6,91,0
1179,Young Adult,23,Master,Single,High Income,90638.0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,2,2014,17,2525,1
1180,Old Adult,64,Graduation,Together,Lower Middle,48070.0,33,373,14,83,6,9,19,3,8,2,6,7,1,1,1,2013,16,504,0
1181,Middle Aged,57,Graduation,Married,Lower Middle,43140.0,68,134,8,76,6,0,11,1,4,1,5,6,0,1,1,2013,10,235,0
1182,Middle Aged,53,PhD,Divorced,Upper Middle,54959.0,55,1148,0,60,0,0,24,3,9,5,4,7,0,1,1,2013,18,1232,1
1183,Middle Aged,56,Basic,Single,Low Income,15056.0,76,6,12,3,21,6,40,5,2,2,3,5,0,2,5,2013,7,88,0
1184,Middle Aged,43,Graduation,Single,Low Income,26954.0,17,4,1,11,0,0,1,1,1,0,2,7,0,1,5,2014,3,17,0
1185,Young Adult,29,Graduation,Single,Low Income,22327.0,94,5,4,8,2,0,5,1,1,0,3,5,0,1,8,2013,4,24,0
1186,Middle Aged,49,Graduation,Married,Lower Middle,44393.0,86,24,2,20,2,2,10,2,1,0,4,4,0,2,8,2013,5,60,0
1187,Old Adult,62,PhD,Single,Upper Middle,62000.0,25,899,0,101,0,0,20,1,6,6,13,4,0,1,8,2013,25,1020,1
1188,Middle Aged,52,PhD,Together,Low Income,31497.0,22,108,1,28,13,1,4,2,3,1,4,8,0,1,12,2012,8,155,0
1189,Middle Aged,40,Master,Married,Lower Middle,45894.0,15,27,2,7,0,2,13,1,1,0,3,5,0,2,2,2014,4,51,0
1190,Middle Aged,44,Master,Divorced,High Income,78579.0,35,816,66,549,216,66,99,1,5,6,4,3,0,0,12,2012,15,1812,0
1191,Middle Aged,45,Master,Widow,Upper Middle,67369.0,81,1298,0,70,37,14,42,4,7,4,10,4,0,1,11,2012,21,1461,1
1192,Middle Aged,54,Graduation,Divorced,Upper Middle,58401.0,55,10,0,11,17,29,29,1,1,2,2,4,0,1,4,2014,5,96,0
1193,Old Adult,62,Graduation,Single,Upper Middle,62307.0,94,87,13,34,10,6,10,1,4,0,4,5,0,1,2,2014,8,160,0
1194,Middle Aged,45,Master,Married,Lower Middle,43641.0,50,57,2,51,4,2,23,3,2,1,4,6,0,2,4,2013,7,139,0
1195,Middle Aged,46,Master,Divorced,Upper Middle,63841.0,64,635,15,100,20,7,131,1,9,3,9,6,0,1,4,2013,21,908,0
1196,Middle Aged,49,Master,Married,Lower Middle,46891.0,91,43,12,23,29,15,61,1,2,1,4,4,0,1,9,2013,7,183,0
1197,Middle Aged,45,Master,Married,High Income,70091.0,11,964,34,137,15,0,11,2,5,2,10,8,0,1,3,2013,17,1161,1
1198,Middle Aged,42,PhD,Married,High Income,78075.0,72,572,8,259,34,35,80,1,3,5,5,1,0,0,4,2014,13,988,0
1199,Middle Aged,53,Master,Widow,Upper Middle,59184.0,6,341,142,113,259,151,66,3,6,6,12,5,0,1,9,2012,24,1072,0
1200,Young Adult,37,Graduation,Married,Upper Middle,54809.0,0,63,6,57,13,13,22,4,2,1,5,4,0,2,9,2013,8,174,0
1201,Middle Aged,55,Graduation,Married,Upper Middle,58113.0,66,221,104,169,102,78,84,3,9,2,8,7,1,1,1,2013,19,758,0
1202,Middle Aged,56,Master,Married,Upper Middle,51412.0,42,140,3,29,4,5,14,2,3,2,4,4,0,1,12,2013,9,195,0
1203,Young Adult,35,Graduation,Divorced,Low Income,15287.0,60,1,2,8,4,3,13,2,1,1,2,7,0,1,10,2012,4,31,1
1204,Middle Aged,57,Master,Together,Upper Middle,66636.0,64,291,10,689,84,10,0,1,3,4,9,1,0,0,8,2013,16,1084,0
1205,Middle Aged,58,Master,Married,Lower Middle,50965.0,87,544,13,85,8,6,29,3,10,4,5,8,0,1,2,2013,19,685,1
1206,Middle Aged,49,PhD,Married,High Income,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,11,2013,25,1672,1
1207,Young Adult,24,Graduation,Married,Low Income,18351.0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,10,2013,5,43,0
1208,Middle Aged,57,PhD,Together,Lower Middle,40451.0,54,35,0,4,0,0,10,1,1,1,2,5,0,2,2,2014,4,49,1
1209,Middle Aged,49,Graduation,Together,Lower Middle,36317.0,53,87,3,25,3,2,13,2,3,0,4,7,0,1,5,2013,7,133,0
1210,Middle Aged,57,Graduation,Together,Lower Middle,42213.0,96,309,3,24,4,3,20,2,5,1,7,7,0,1,10,2013,13,363,1
1211,Middle Aged,59,Graduation,Together,Upper Middle,65748.0,58,172,73,93,95,78,34,2,2,4,10,1,1,1,4,2013,16,545,0
1212,Middle Aged,42,Graduation,Together,High Income,77044.0,12,625,38,242,50,34,76,2,7,11,11,4,0,1,10,2013,29,1065,1
1213,Middle Aged,45,Graduation,Together,High Income,74918.0,78,972,59,913,25,19,59,1,5,9,6,3,0,0,3,2013,20,2047,1
1214,Middle Aged,42,Graduation,Married,Upper Middle,56721.0,64,157,6,39,6,13,75,5,4,1,5,6,0,2,10,2012,10,296,0
1215,Young Adult,39,Graduation,Single,Lower Middle,42160.0,26,48,9,45,3,15,20,4,2,1,4,6,0,2,6,2013,7,140,0
1216,Middle Aged,49,Graduation,Single,Upper Middle,61559.0,8,279,83,88,32,14,34,1,4,2,10,3,0,1,7,2013,16,530,0
1217,Middle Aged,51,PhD,Together,Low Income,33629.0,49,132,0,16,0,0,4,5,3,1,4,9,0,2,8,2012,8,152,0
1218,Young Adult,23,PhD,Together,High Income,68682.0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,10,2013,23,1598,0
1219,Middle Aged,51,Graduation,Single,Low Income,34377.0,55,62,0,22,3,1,26,2,2,2,2,7,0,1,1,2013,6,114,0
1220,Young Adult,28,Basic,Single,Low Income,8940.0,25,1,45,3,4,6,42,3,3,1,3,8,0,1,8,2012,7,101,0
1221,Middle Aged,41,Graduation,Married,Low Income,26228.0,50,2,6,4,3,1,9,1,1,0,2,8,0,1,9,2013,3,25,0
1222,Middle Aged,57,Master,Divorced,High Income,77297.0,84,408,61,109,48,122,41,1,5,7,9,4,0,0,1,2013,21,789,1
1223,Young Adult,33,Graduation,Married,Lower Middle,40211.0,30,51,1,7,2,1,25,2,2,1,2,8,0,2,7,2013,5,87,1
1224,Middle Aged,56,PhD,Widow,Low Income,33438.0,81,62,1,16,3,2,6,4,2,1,4,5,0,2,9,2013,7,90,0
1225,Middle Aged,55,PhD,Married,High Income,75032.0,74,952,12,180,47,12,12,2,5,4,9,3,0,1,4,2013,18,1215,0
1226,Middle Aged,59,PhD,Single,Upper Middle,61284.0,76,618,15,106,20,7,45,1,11,2,8,6,0,0,10,2013,21,811,1
1227,Young Adult,28,Graduation,Married,Low Income,22518.0,36,11,7,12,2,2,27,2,2,1,2,5,0,1,10,2012,5,61,1
1228,Young Adult,39,Master,Married,Upper Middle,54730.0,64,318,3,17,4,7,56,5,4,1,8,4,0,1,8,2013,13,405,0
1229,Middle Aged,59,Master,Married,Lower Middle,38452.0,62,56,0,14,0,0,2,3,3,0,3,7,0,2,3,2014,6,72,0
1230,Middle Aged,43,Graduation,Divorced,Lower Middle,44421.0,53,110,5,59,7,1,7,5,5,0,4,8,0,2,2,2013,9,189,0
1231,Young Adult,28,PhD,Together,Lower Middle,38197.0,86,23,0,11,2,1,3,1,1,0,3,5,0,1,6,2013,4,40,0
1232,Young Adult,36,Graduation,Divorced,Lower Middle,41986.0,15,27,5,8,8,3,12,3,3,0,4,4,0,1,2,2014,7,63,0
1233,Young Adult,31,Graduation,Together,Low Income,28427.0,67,18,3,19,3,3,6,2,2,0,3,8,0,1,3,2013,5,52,0
1234,Young Adult,38,PhD,Together,Lower Middle,37395.0,47,18,0,9,0,1,11,1,1,0,3,6,0,1,5,2014,4,39,0
1235,Middle Aged,43,Graduation,Married,Upper Middle,64722.0,47,303,0,280,60,147,15,4,8,2,11,6,0,1,5,2014,21,805,0
1236,Middle Aged,58,Master,Together,Upper Middle,55249.0,81,97,1,19,2,0,11,1,2,1,4,3,0,1,4,2014,7,130,0
1237,Middle Aged,42,Graduation,Together,High Income,84906.0,98,997,15,414,99,30,76,1,5,6,12,2,0,0,10,2013,23,1631,1
1238,Young Adult,25,Graduation,Married,Low Income,28691.0,56,5,4,13,8,0,4,1,1,0,3,8,0,1,7,2013,4,34,0
1239,Old Adult,62,Graduation,Single,Lower Middle,44213.0,48,95,11,35,0,4,7,4,2,1,5,6,0,2,11,2013,8,152,0
1240,Young Adult,30,Basic,Single,Low Income,25707.0,18,1,6,2,3,6,3,1,1,0,3,7,0,1,1,2014,4,21,0
1241,Middle Aged,47,PhD,Married,Upper Middle,59062.0,74,46,1,12,3,0,9,2,2,0,3,4,0,3,10,2013,5,71,0
1242,Middle Aged,52,Graduation,Single,High Income,76624.0,68,411,106,147,54,115,66,1,5,10,7,1,0,1,5,2014,22,899,1
1243,Old Adult,67,Master,Together,Upper Middle,66000.0,36,244,51,270,101,0,45,1,1,3,5,1,0,0,4,2014,9,711,0
1244,Young Adult,36,PhD,Together,Low Income,27683.0,90,152,9,121,12,12,45,4,6,2,4,8,0,1,8,2012,12,351,0
1245,Middle Aged,43,Graduation,Divorced,Low Income,1730.0,65,1,1,3,1,1,1,15,0,0,0,20,0,0,5,2014,0,8,0
1246,Young Adult,22,Basic,Single,Low Income,7500.0,63,10,17,18,8,26,40,4,3,2,2,9,0,1,12,2012,7,119,0
1247,Middle Aged,46,Graduation,Together,Lower Middle,40521.0,82,12,0,5,0,0,4,1,0,1,2,5,0,2,4,2013,3,21,0
1248,Middle Aged,41,PhD,Together,Low Income,20427.0,63,5,0,4,0,0,1,1,1,0,2,8,0,1,3,2014,3,10,0
1249,Young Adult,39,Graduation,Married,Upper Middle,65106.0,55,790,19,133,12,0,19,3,8,3,13,6,0,1,5,2014,24,973,1
1250,Middle Aged,49,PhD,Married,High Income,69969.0,64,882,29,514,38,29,44,1,4,2,6,3,0,0,8,2013,12,1536,1
1251,Old Adult,62,Graduation,Married,Upper Middle,67433.0,51,615,28,259,12,48,30,4,6,5,13,4,0,2,7,2013,24,992,1
1252,Middle Aged,47,PhD,Married,High Income,77766.0,97,1004,59,265,115,59,27,2,11,10,11,6,0,1,2,2013,32,1529,1
1253,Middle Aged,42,Graduation,Married,High Income,74716.0,92,133,27,421,13,195,71,2,7,3,5,4,0,1,9,2013,15,860,0
1254,Middle Aged,51,Graduation,Divorced,High Income,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,1,10,2013,21,928,0
1256,Middle Aged,59,Master,Married,Upper Middle,62972.0,39,313,15,47,20,0,192,2,7,4,3,6,0,1,8,2012,14,587,0
1257,Young Adult,39,Graduation,Married,High Income,74190.0,49,151,81,86,168,91,64,2,4,2,11,2,0,1,5,2014,17,641,0
1258,Young Adult,38,Graduation,Married,Lower Middle,39356.0,21,15,0,2,0,0,6,1,1,0,2,6,0,2,3,2014,3,23,1
1259,Middle Aged,45,Graduation,Together,High Income,76653.0,91,736,63,946,219,189,126,1,4,7,11,2,0,0,8,2013,22,2279,1
1260,Middle Aged,41,PhD,Divorced,Lower Middle,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,2,5,2014,4,49,1
1261,Young Adult,31,PhD,Divorced,High Income,90687.0,98,982,17,672,23,34,51,1,6,2,8,2,0,0,5,2013,16,1779,1
1262,Young Adult,32,Master,Together,High Income,73450.0,85,1142,51,415,90,69,37,1,7,8,11,3,0,0,12,2013,26,1804,1
1263,Middle Aged,54,Graduation,Married,Low Income,31454.0,40,28,0,11,0,0,9,3,2,0,3,8,0,2,7,2013,5,48,0
1264,Old Adult,62,Graduation,Single,Lower Middle,47139.0,2,46,0,12,0,2,23,2,2,1,2,7,0,2,3,2014,5,83,0
1265,Young Adult,39,Graduation,Divorced,High Income,83829.0,78,897,161,430,186,161,27,0,4,7,6,1,0,0,10,2013,17,1862,1
1266,Middle Aged,51,PhD,Married,Upper Middle,53378.0,41,489,6,152,8,6,132,10,9,4,6,8,0,2,9,2012,19,793,0
1267,Middle Aged,44,Graduation,Together,Low Income,19656.0,94,25,4,9,6,8,32,3,2,1,3,7,0,1,2,2013,6,84,0
1268,Old Adult,66,PhD,Married,Lower Middle,45579.0,10,145,1,33,2,1,1,1,4,1,4,6,0,1,8,2013,9,183,0
1269,Middle Aged,56,Master,Single,High Income,85485.0,73,630,26,611,44,18,54,1,6,6,6,2,0,0,6,2014,18,1383,0
1270,Old Adult,70,Graduation,Married,Upper Middle,55956.0,22,760,38,104,50,9,38,2,7,3,4,4,0,0,4,2014,14,999,1
1271,Middle Aged,51,Master,Single,Upper Middle,64191.0,30,420,15,186,151,38,15,3,5,3,13,3,0,1,1,2013,21,825,0
1272,Middle Aged,42,Graduation,Single,Lower Middle,38808.0,21,125,17,52,3,19,30,4,5,1,4,8,0,1,8,2012,10,246,1
1273,Middle Aged,48,Master,Married,Upper Middle,57183.0,51,464,5,64,7,0,70,8,9,1,7,8,0,2,3,2013,17,610,0
1274,Middle Aged,46,Master,Divorced,Low Income,23748.0,97,6,6,29,12,15,8,3,2,1,3,8,0,1,11,2012,6,76,0
1275,Middle Aged,43,Graduation,Married,Upper Middle,66303.0,56,1090,12,96,16,12,60,4,3,4,11,8,0,1,2,2013,18,1286,1
1276,Young Adult,39,Master,Married,Lower Middle,37368.0,4,3,2,11,2,2,10,1,1,0,2,6,0,1,12,2013,3,30,1
1277,Middle Aged,50,Graduation,Married,Lower Middle,40800.0,77,24,0,27,8,30,10,2,3,0,3,7,1,3,1,2013,6,99,0
1278,Young Adult,36,Graduation,Divorced,High Income,71847.0,95,737,21,106,55,63,210,0,6,7,9,3,0,0,9,2012,22,1192,1
1279,Young Adult,39,Graduation,Married,Lower Middle,46149.0,36,254,6,71,4,0,27,5,5,1,7,5,0,1,11,2013,13,362,0
1280,Young Adult,31,Graduation,Together,High Income,78687.0,13,817,185,687,145,55,241,1,4,6,8,2,0,0,8,2012,18,2130,1
1281,Middle Aged,43,Master,Divorced,Lower Middle,49118.0,90,620,54,239,99,98,119,2,9,7,10,7,0,0,8,2012,26,1229,1
1282,Middle Aged,57,PhD,Married,Lower Middle,37633.0,49,13,4,20,0,0,1,2,1,0,3,9,0,2,9,2012,4,38,0
1283,Old Adult,63,Master,Together,Lower Middle,39767.0,18,113,61,204,34,26,47,2,7,1,7,8,0,0,7,2013,15,485,0
1284,Old Adult,63,Basic,Married,Low Income,26997.0,89,7,23,78,133,49,144,2,4,2,5,7,0,0,11,2012,11,434,0
1285,Middle Aged,44,Graduation,Divorced,Low Income,33986.0,43,16,2,18,2,1,5,1,1,0,3,7,0,1,3,2013,4,44,0
1286,Middle Aged,42,PhD,Married,Upper Middle,57091.0,82,462,0,24,6,0,4,2,9,2,5,7,0,1,11,2012,16,496,1
1287,Middle Aged,45,Master,Married,Lower Middle,46831.0,84,22,2,10,6,4,34,2,1,2,2,4,0,2,6,2013,5,78,0
1288,Middle Aged,42,Master,Married,High Income,83151.0,80,968,147,842,137,42,210,1,5,7,10,2,0,0,2,2013,22,2346,1
1289,Middle Aged,43,Graduation,Married,Upper Middle,52531.0,68,283,112,151,51,72,125,2,7,2,10,6,0,0,12,2012,19,794,0
1290,Middle Aged,58,Graduation,Married,Low Income,15759.0,12,1,2,5,6,0,3,1,1,0,2,7,0,0,9,2013,3,17,0
1291,Middle Aged,43,Graduation,Single,Low Income,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,1,7,2013,4,26,0
1292,Middle Aged,41,Master,Married,Lower Middle,43050.0,10,30,5,24,6,3,8,2,2,0,4,5,0,1,3,2014,6,76,0
1293,Young Adult,37,PhD,Single,Lower Middle,42997.0,91,4,0,5,0,1,5,1,1,0,2,7,0,2,12,2013,3,15,0
1294,Middle Aged,51,PhD,Single,Lower Middle,48918.0,21,52,0,9,0,0,1,2,1,0,4,4,0,2,4,2014,5,62,0
1295,Old Adult,60,Master,Together,Upper Middle,60033.0,28,62,1,57,19,11,48,2,2,1,5,2,0,1,3,2014,8,198,0
1296,Young Adult,36,PhD,Together,Low Income,34043.0,97,20,2,14,3,0,10,1,2,0,2,9,0,1,10,2013,4,49,0
1297,Middle Aged,48,Graduation,Together,Upper Middle,57811.0,49,545,7,114,37,21,78,5,7,2,11,5,0,1,6,2013,20,802,1
1298,Old Adult,68,Graduation,Married,High Income,78569.0,14,558,79,622,207,175,95,1,4,6,4,1,0,0,2,2014,14,1736,1
1299,Young Adult,36,Graduation,Single,Low Income,7500.0,5,6,5,4,13,4,25,4,2,1,3,6,0,2,12,2012,6,57,0
1301,Old Adult,61,Graduation,Together,High Income,94384.0,62,1111,24,790,160,45,172,0,5,8,5,2,0,0,3,2013,18,2302,1
1302,Young Adult,29,Master,Married,Low Income,23148.0,83,4,6,8,6,3,10,1,2,0,3,7,0,0,2,2014,5,37,0
1303,Middle Aged,44,Graduation,Divorced,Lower Middle,44267.0,48,183,5,65,3,5,49,5,5,2,4,9,0,2,2,2013,11,310,0
1304,Young Adult,35,Graduation,Married,High Income,71626.0,94,546,72,376,94,145,72,1,5,5,8,3,0,0,11,2012,18,1305,1
1305,Middle Aged,48,Graduation,Together,Upper Middle,60894.0,61,606,7,155,10,0,54,5,10,3,8,7,0,1,6,2013,21,832,0
1306,Young Adult,38,Graduation,Together,Lower Middle,50200.0,70,266,6,51,8,6,64,6,7,1,5,8,0,2,4,2013,13,401,0
1307,Middle Aged,49,PhD,Married,High Income,81051.0,43,1142,29,249,38,29,14,1,5,5,12,2,0,0,5,2014,22,1501,1
1308,Young Adult,32,Graduation,Married,Upper Middle,65169.0,23,1074,0,69,0,0,46,1,10,4,13,6,0,0,1,2014,27,1189,1
1309,Middle Aged,42,Graduation,Together,Upper Middle,59868.0,37,771,51,154,54,10,154,7,11,2,12,6,0,1,7,2013,25,1194,0
1310,Middle Aged,54,PhD,Married,Upper Middle,65695.0,50,371,32,189,0,58,6,2,5,4,10,4,0,1,1,2014,19,656,0
1311,Middle Aged,58,Master,Single,Upper Middle,64857.0,78,556,14,717,210,0,43,1,7,5,10,4,0,0,11,2012,22,1540,0
1312,Middle Aged,49,Master,Together,Lower Middle,45143.0,74,202,5,74,11,5,14,3,6,1,5,7,0,1,8,2013,12,311,0
1313,Middle Aged,59,Master,Together,High Income,74805.0,14,209,162,209,41,162,37,5,4,7,10,2,0,1,11,2013,21,820,0
1314,Young Adult,25,Master,Married,Upper Middle,59060.0,77,35,40,111,36,40,12,3,3,1,7,4,0,1,1,2014,11,274,0
1315,Middle Aged,52,PhD,Single,Low Income,27238.0,39,37,0,17,0,0,3,3,3,0,3,9,0,2,4,2013,6,57,0
1316,Middle Aged,49,Graduation,Together,Lower Middle,47009.0,89,171,45,73,59,10,90,4,3,2,8,4,0,1,10,2013,13,448,0
1317,Middle Aged,41,Master,Married,Lower Middle,46094.0,62,12,2,20,3,2,5,1,1,0,3,7,0,2,6,2014,4,44,0
1318,Middle Aged,42,Graduation,Married,Lower Middle,40321.0,59,44,4,21,6,0,27,2,3,0,3,7,0,2,7,2013,6,102,0
1319,Young Adult,30,Graduation,Together,Lower Middle,37235.0,68,20,2,9,4,6,20,1,1,1,2,4,0,1,2,2014,4,61,0
1320,Middle Aged,54,Master,Married,High Income,81843.0,13,779,86,537,34,69,138,1,5,9,12,3,0,0,4,2013,26,1643,0
1321,Middle Aged,56,Master,Together,Lower Middle,46692.0,37,170,6,97,24,12,88,3,6,1,5,6,0,1,6,2013,12,397,0
1322,Middle Aged,46,Graduation,Together,High Income,77382.0,36,491,48,231,112,105,134,2,5,7,12,1,0,1,1,2014,24,1121,1
1323,Young Adult,37,Graduation,Single,Lower Middle,37774.0,28,173,8,107,7,2,176,4,7,2,3,9,1,2,9,2012,12,473,1
1324,Middle Aged,40,Basic,Married,Low Income,18393.0,2,7,10,13,16,0,4,2,3,0,3,8,0,1,3,2014,6,50,0
1325,Middle Aged,52,Master,Married,High Income,72828.0,17,1205,0,235,19,14,205,6,6,3,13,7,0,1,2,2013,22,1678,0
1326,Young Adult,32,Graduation,Married,Low Income,24711.0,86,10,7,25,6,3,7,1,3,0,3,7,0,0,4,2014,6,58,0
1327,Young Adult,39,PhD,Married,Lower Middle,45503.0,54,97,4,44,6,1,18,1,3,1,4,5,0,1,9,2013,8,170,0
1328,Young Adult,32,Master,Single,Low Income,6560.0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,12,2013,2,373,0
1329,Old Adult,69,PhD,Together,High Income,71604.0,3,345,53,528,98,75,97,1,8,3,5,4,0,0,11,2013,16,1196,1
1330,Young Adult,35,Graduation,Married,Low Income,27244.0,84,6,5,17,3,24,46,2,2,2,2,7,0,1,3,2014,6,101,0
1331,Middle Aged,45,Graduation,Married,Lower Middle,48752.0,8,73,57,100,71,15,0,5,6,1,5,9,0,2,12,2012,12,316,0
1332,Middle Aged,52,Graduation,Married,High Income,71434.0,4,711,36,217,172,96,168,3,7,4,7,4,0,1,9,2013,18,1400,1
1333,Old Adult,66,Graduation,Single,High Income,90842.0,57,774,70,118,182,187,93,1,4,9,13,1,0,0,7,2013,26,1424,0
1334,Young Adult,36,Master,Married,High Income,88097.0,24,163,0,480,0,126,75,1,6,5,8,9,0,1,8,2012,19,844,1
1335,Young Adult,39,Graduation,Married,Upper Middle,51948.0,51,82,33,54,71,30,41,2,5,2,4,5,0,1,9,2013,11,311,0
1336,Young Adult,32,Graduation,Together,High Income,71853.0,29,358,108,413,141,97,32,1,2,8,6,1,0,0,5,2013,16,1149,0
1337,Young Adult,31,Master,Married,Lower Middle,35876.0,13,66,2,40,4,3,14,1,3,1,3,6,0,0,4,2014,7,129,0
1338,Old Adult,62,Graduation,Widow,Lower Middle,40049.0,23,13,6,7,0,3,3,1,1,0,3,6,0,1,10,2013,4,32,0
1339,Young Adult,32,Graduation,Single,Lower Middle,39660.0,36,139,13,78,20,13,36,3,7,1,3,9,0,1,8,2012,11,299,0
1340,Middle Aged,52,Graduation,Together,Lower Middle,50127.0,88,274,0,21,4,6,15,1,5,1,6,6,0,1,5,2014,12,320,1
1341,Young Adult,37,Master,Married,Lower Middle,43263.0,2,262,6,61,0,10,102,3,5,2,6,5,0,1,11,2012,13,441,0
1342,Old Adult,65,Master,Married,Upper Middle,62845.0,3,1099,0,45,0,0,34,11,3,4,10,8,0,2,10,2012,17,1178,1
1343,Young Adult,24,Graduation,Married,Low Income,18929.0,15,32,0,8,23,4,18,1,1,0,4,6,0,0,2,2013,5,85,0
1344,Young Adult,32,Basic,Single,Low Income,24367.0,58,2,4,2,0,11,5,1,1,0,2,9,0,1,3,2013,3,24,0
1345,Young Adult,39,Graduation,Single,Low Income,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,1,2,2013,6,112,0
1346,Middle Aged,55,Master,Married,Low Income,26887.0,27,6,7,4,3,4,6,1,1,0,3,6,0,1,2,2013,4,30,0
1347,Young Adult,31,PhD,Married,Lower Middle,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,6,2013,14,410,0
1348,Young Adult,38,Graduation,Together,Upper Middle,62061.0,12,641,7,84,0,30,38,3,10,4,7,6,0,1,8,2013,21,800,1
1349,Middle Aged,52,PhD,Divorced,High Income,85696.0,88,714,76,395,116,0,12,1,4,6,9,1,0,0,5,2013,19,1313,0
1350,Middle Aged,58,PhD,Together,High Income,76542.0,91,794,73,573,0,29,14,1,4,8,10,2,0,0,3,2013,22,1483,0
1351,Young Adult,21,Graduation,Single,High Income,70515.0,12,420,0,452,182,64,140,1,6,6,4,2,0,0,10,2013,16,1258,0
1352,Young Adult,27,Graduation,Together,Low Income,18227.0,21,1,2,7,4,3,11,1,0,1,2,8,0,1,11,2012,3,28,0
1353,Middle Aged,49,Graduation,Married,High Income,69139.0,23,86,12,75,33,15,6,1,4,1,5,4,0,1,1,2014,10,227,0
1354,Young Adult,32,Graduation,Married,High Income,69109.0,10,823,25,459,124,29,95,1,6,6,7,4,0,0,11,2012,19,1555,1
1355,Middle Aged,52,Graduation,Single,High Income,69627.0,35,231,161,215,171,30,53,2,8,2,11,5,0,1,3,2013,21,861,0
1356,Young Adult,36,Graduation,Married,Lower Middle,38136.0,69,8,15,27,0,20,33,2,3,1,2,8,0,1,4,2013,6,103,1
